Ex-Date,Pay Date,Amount
2025-01-01,2025-01-01,2.06
2025-06-24,2025-07-11,0.6925
2025-03-31,2025-04-17,0.6925
2025-01-02,2025-01-17,0.675
2024-01-01,2024-01-01,2.6875
2024-09-24,2024-10-11,0.675
2024-07-01,2024-07-12,0.675
2024-03-22,2024-04-12,0.675
2023-12-29,2024-01-12,0.6625
2023-01-01,2023-01-01,2.6125
2023-09-25,2023-10-13,0.6625
2023-06-23,2023-07-14,0.6625
2023-03-24,2023-04-14,0.6625
2022-12-30,2023-01-13,0.625
2022-01-01,2022-01-01,2.4775
2022-09-23,2022-10-14,0.625
2022-06-24,2022-07-08,0.625
2022-03-25,2022-04-08,0.625
2021-12-31,2022-01-14,0.6025
2021-01-01,2021-01-01,2.41
2021-09-24,2021-10-08,0.6025
2021-06-25,2021-07-09,0.6025
2021-03-26,2021-04-09,0.6025
2020-12-31,2021-01-15,0.6025
2020-01-01,2020-01-01,2.375
2020-09-24,2020-10-09,0.6025
2020-06-19,2020-07-10,0.6025
2020-03-20,2020-04-13,0.6025
2019-12-31,2020-01-10,0.5675
2019-01-01,2019-01-01,2.2425
2019-09-27,2019-10-11,0.5675
2019-06-27,2019-07-12,0.5675
2019-03-22,2019-04-12,0.5675
2018-12-31,2019-01-11,0.54
2018-01-01,2018-01-01,2.1238
2018-09-21,2018-10-12,0.54
2018-06-22,2018-07-13,0.54
2018-03-23,2018-04-13,0.54
2017-12-29,2018-01-12,0.5038
2017-01-01,2017-01-01,2.015
2017-09-22,2017-10-13,0.5038
2017-06-22,2017-07-14,0.5038
2017-03-23,2017-04-17,0.5038
2016-12-22,2017-01-13,0.5038
2016-01-01,2016-01-01,13.0638
2016-09-22,2016-10-14,3.5038
2016-06-23,2016-07-08,0.5038
2016-03-22,2016-04-08,0.5038
2016-03-01,2016-03-10,8.0
2015-12-23,2016-01-08,0.5525
2015-01-01,2015-01-01,2.1575
2015-09-17,2015-10-09,0.5525
2015-06-24,2015-07-10,0.5525
2015-03-19,2015-04-10,0.5525
2014-12-23,2015-01-09,0.5
