feature,importance
ten_year_bin_mid,0.005921029336040211
unemp_mom,0.004441744375781695
company_SLG,0.004201772374806854
cpi_yoy_bin_q3,0.002978333771937905
cpi_mom,0.0022919382623847067
unemp,0.002176252228649406
ten_year_mom,0.0011580044582182895
ten_year_bin_high,0.0011350012794496317
dividend_ttm_log,0.000849187123644072
company_TRNO,0.0006010170613425653
cpi,0.0
cpi_yoy_bin_q2,0.0
cpi_yoy_bin_q1,0.0
ten_year_bin_low,0.0
company_EQR,0.0
company_REXR,0.0
cpi_yoy,0.0
company_ELME,0.0
company_BXP,0.0
adj_price_log,0.0
ten_year,0.0
cpi_yoy_bin_q4,0.0
